Caesar A. Saloma,Award for Continuing Excellence and Service (ACES),"Metrobank Foundation, Inc. (MBFI)",2014,
Caesar A. Saloma,Who's Who in Science and Engineering,Marquis,2011,
Caesar A. Saloma,Asian Scientist,Ultimate List of 15 Asian Scientist to Watch,2011,http://www.asianscientist.com/features/the-ultimate-list-15-asian-scientists-watch/
Caesar A. Saloma,Senior Member,Optical Society of America,2010,
Caesar A. Saloma,Outstanding Science Administrator Award (Dioscoro L. Umali Medal),DOST and NAST,2010,
Caesar A. Saloma,Spotlight on: Excellent Researchers from Southeast Asia,SEA-EU-NET Mapping Study,2009,http://www.sea-eu.net/object/document/20
Caesar A. Saloma,Lingkod Bayan Award - the Presidential Award for Outstanding Public Service,Civil Service Commission,2008,
Caesar A. Saloma,Fellow,Samahang Pisika ng Pilipinas,2008,
Caesar A. Saloma,Metrobank Foundation Outstanding Teacher Award,"Metrobank Foundation, Inc. (MBFI)",2007,
Caesar A. Saloma,Gawad Chanselor para sa Natatanging Guro (Outstanding Teacher),University of the Philippines Diliman,2006,
Caesar A. Saloma,Galileo Galilei Award,International Commission for Optics,2004,http://e-ico.org/publications/newsletter/ico_apr05#Saloma
Caesar A. Saloma,Outstanding R&D Award in Basic Research (Eduardo Quisumbing Medal),"Department of Science and Technology, Philippines (DOST)",1999,
Caesar A. Saloma,Third World Academy of Science (TWAS) Prize in Physics,NAST,1997,
Caesar A. Saloma,Outstanding Young Scientist (Applied Physics),"National Academy of Science and Technology, Philippines (NAST)",1992,
Maricor N. Soriano,PCIEERD 2018 R&D Award,PCIEERD,2018,
Maricor N. Soriano,Ideaspace Incubation,Ideaspace,2017,
Maricor N. Soriano,Leaders in Innovation Fellow Award,Newton Fund,2015,
Maricor N. Soriano,The Outstanding Women in the Nation's Service,TOWNS Foundation,2013,
Maricor N. Soriano,Achievement Award in Physics,NRCP,2010,
Maricor N. Soriano,Third World Academy of Science Prize in Physics,NAST,2009,
Maricor N. Soriano,Outstanding Young Scientist,NAST,2006,
May T. Lim,Most Outstanding PhD Graduate,UP Diliman College of Science,2002,
