,reg,DN Dailisan and MT Lim,Vehicular traffic modeling with greedy lane-changing and inordinate waiting,Physica A,521,,2,2019,,,https://doi.org/10.1016/j.physa.2019.01.107,
,reg,AP Abella and MN Soriano,Detection and visualization of water surface three-wave resonance via a synthetic Schlieren method,Physica Scripta,94,3,1,2019,,,https://iopscience.iop.org/article/10.1088/1402-4896/aaf83a,
,reg,C Saloma,Brain Drain and Inbreeding in the Training of Future Filipino Scientists,Philipp. J. Sci,148,1,3,2019,,,,
,reg,"WDG Improso, G Tapang and C Saloma",Suppression of Zeroth-Order Diffraction in Phase-Only Spatial Light Modulator,"Chapter 1, Optics, Photonics and Laser Technology 2017, Springer Series in Optical Sciences 222, P. Ribeiro et al.",,,7,2019,1,30,https://doi.org/10.1007/978-3-030-12692-6_1,
,reg,C Saloma,Valuable Lessons from a Decade of ERDT and ASTHRDP Implementation,Philipp. J. Sci,148,2,6,2019,,,http://philjournalsci.dost.gov.ph/images/pdf/pjs_pdf/vol148no2/EDITORIAL_Valuable_lessons_from_a_decade_of_ERDT_and_ASTHRDP_.pdf,
,reg,C Saloma,Journal Status Report 2019,Philipp. J. Sci,148,3,9,2019,,,http://philjournalsci.dost.gov.ph/images/pdf/pjs_pdf/vol148no3/Editorial_Journal_Status_Report.pdf,
,reg,"Rubio LJM, Dailisan DN, Osorio MJP, David CC, Lim MT",Modeling the residential distribution of enrolled students to assess boundary-induced disparities in public school access,PLoS ONE,14,10,10,2019,,,https://doi.org/10.1371/journal.pone.0222766,
,reg,"HV Lee Jr, LMD Rosario, RB Tumlos, HJ Ramos, LMT Bo-Ot, and MN Soriano.",Excitation of O(1S) auroral green line from ambient air in a microwave-induced plasma jet at atmospheric pressure,Japanese Journal of Applied Physics,57,6,6,2018,66102,,https://doi.org/10.7567/JJAP.57.066102,
,reg,JAF Balista and CA Saloma,Modified inelastic bouncing ball model of the Brazil nut effect and its reverse,Granular Matter,20,3,8,2018,47,,https://doi.org/10.1007/s10035-018-0821-2,
,reg,C Saloma,Journal Status Report 2018,Philipp. J. Sci,147,3,9,2018,,,,
,reg,"MA Alagao, MA Go, MN Soriano, and GA Tapang",Characterization of the performance of a 7-mirror segmented reflecting telescope via the angular spectrum method,Springer Series in Optical Sciences,218,,10,2018,137,157,https://doi.org/10.1007/978-3-319-98548-0_7,
,reg,C. Saloma,Access to Tertiary Education (Editorial),Phil. J Sc,146,4,12,2017,,,https://drive.google.com/file/d/1PKtMZXy8IYtyNoC1ohhOiow_H0i_7l7N/view,
,reg,"CDO Janer, D. Biton, and RC Batac","Incorporating space, time, and magnitude measures in a network characterization of earthquake events",Acta Geophysica,65,6,11,2017,1153,1166,https://doi.org/10.1007/s11600-017-0100-3,
,reg,"Bruzon, D.A., Tiongson, J.K., Tapang, G., Martinez, I.S.",Electroreduction and solubility of CO2in methoxy- and nitrile-functionalized imidazolium (FAP) ionic liquids,Journal of Applied Electrochemistry,47,11,11,2017,,,https://doi.org/10.1007/s10800-017-1117-7,
,reg,"Rosario, L.M.D., Salapare, H.S., Guittard, F., Tumlos, R.B., Soriano, M.N.",Topological characterization of plasma-etched polymer surface using discontinuous percolation transition,Materials Chemistry and Physics,200,,10,2017,,,https://doi.org/10.1016/j.matchemphys.2017.07.084,
,reg,C. Saloma,Journal Status Report,Phil. J Sc,146,3,9,2017,,,https://drive.google.com/file/d/1DCEM6dELWF1Jn151qvNqvGER4U2P39At/view,
,reg,"AA Paguirigan Jr, MJG Angco, and JY Bantang",A fragmentation model of earthquake-like behavior in internet access activity,Int. J Mod. Phys. C,28,7,6,2017,,,DOI:10.1142/S0129183117500929,
,reg,C Saloma,Measuring the performance of our higher education institutions Part II,"Editorial, Phil. J Sc",146,2,6,2017,,,https://drive.google.com/file/d/0B1UyokJX8r2KclMtVTJOc1dhVGs/view,
,reg,"Batac, R.C., Paguirigan, A.A., Tarun, A.B., Longjas, A.G.",Sandpile-based model for capturing magnitude distributions and spatiotemporal clustering and separation in regional earthquakes,Nonlinear Processes in Geophysics,24,2,4,2017,,,https://doi.org/10.5194/npg-24-179-2017,
,reg,"Villacorta, R.B., Roque, K.F.J., Tapang, G.A., Jacinto, S.D.",Plant extracts as natural photosensitizers in photodynamic therapy: in vitro activity against human mammary adenocarcinoma MCF-7 cells,Asian Pacific Journal of Tropical Biomedicine,7,4,4,2017,,,https://doi.org/10.1016/j.apjtb.2017.01.025,
,reg,"Soriano, M.",Making sense of the sea on a shoestring: A review of cost-effective tools for coral reef visualization,AIP Conference Proceedings,1871,,1,2017,,,https://doi.org/10.1063/1.4996531,
